year,week,region,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp
2014.0,13,East,36.3,9.0,10.4,11.8,42.5,35.0,1,28.685714285714287,10.719047619047618,24.7
2014.0,13,North,183.9,25.2,30.8,30.8,45.7,35.3,1,28.29736842105263,7.884415584415585,22.4
2014.0,13,West,27.4,9.0,9.8,9.8,78.8,34.2,1,28.63214285714286,11.314285714285715,25.5
2014.0,14,Central,169.4,44.2,47.0,47.6,85.0,34.1,1,28.44285714285714,6.409523809523809,23.0
2014.0,14,East,142.9,21.0,25.0,25.0,44.3,34.4,1,28.62857142857143,7.6049999999999995,22.8
2014.0,14,North,316.4,27.2,35.0,37.6,38.2,35.4,1,28.15066666666667,6.092207792207793,23.1
2014.0,14,West,188.8,36.6,48.8,56.2,92.9,34.2,1,28.517857142857142,9.875,23.7
2014.0,15,Central,72.4,27.0,41.2,42.0,41.4,34.5,1,28.114285714285714,5.29047619047619,22.6
2014.0,15,East,131.29999999999998,16.4,16.8,25.8,43.2,34.6,1,27.973684210526315,5.948148148148148,23.5
2014.0,15,North,439.6,28.6,42.6,43.8,44.6,35.3,1,27.728571428571428,5.605194805194805,22.4
2014.0,15,West,90.8,10.6,10.8,17.8,74.2,33.9,1,28.375,9.278571428571428,22.7
2014.0,16,Central,238.60000000000002,44.6,55.6,68.0,46.1,33.6,1,28.523809523809526,5.380952380952381,23.2
2014.0,16,East,261.8,25.8,35.4,36.4,38.9,34.4,1,28.45714285714286,6.735714285714286,23.2
2014.0,16,North,568.7,26.4,34.4,42.4,55.4,35.8,1,27.94025974025974,5.0051948051948045,22.3
2014.0,16,West,9.4,4.0,4.8,4.8,56.2,33.3,1,28.79642857142857,8.417857142857143,25.3
2014.0,17,Central,133.0,44.0,51.2,53.6,39.2,34.1,1,28.461904761904766,4.923809523809524,23.8
2014.0,17,East,142.5,13.0,14.2,14.4,118.8,35.2,1,28.433333333333334,6.557142857142857,24.4
2014.0,17,North,581.8000000000001,46.4,53.0,55.6,62.6,35.7,1,27.67142857142857,5.081818181818182,22.7
2014.0,17,West,88.4,18.0,24.0,24.2,52.6,33.6,1,28.599999999999998,8.014285714285714,23.9
2014.0,18,Central,142.0,34.0,37.8,42.4,41.8,34.5,1,29.085714285714282,5.538095238095238,24.3
2014.0,18,East,111.0,11.4,12.8,17.0,43.6,35.0,1,29.05714285714286,7.117857142857143,24.5
2014.0,18,North,378.3,33.6,54.4,60.0,48.2,34.9,1,28.544000000000004,5.34025974025974,23.7
2014.0,18,West,80.8,24.6,29.2,29.4,62.6,33.5,1,29.232142857142858,8.414285714285715,24.4
2014.0,19,Central,38.4,27.0,28.6,29.8,40.7,34.4,1,29.257142857142856,5.4523809523809526,24.6
2014.0,19,East,173.5,19.6,32.8,33.8,48.2,34.5,1,29.071428571428573,7.317857142857143,24.1
2014.0,19,North,685.3,44.6,46.0,46.0,48.2,35.4,1,28.405194805194803,5.199999999999999,22.7
2014.0,19,West,20.4,8.4,9.0,9.6,40.0,33.3,1,29.364285714285717,8.532142857142857,24.8
2014.0,20,Central,199.60000000000002,34.2,38.0,40.4,49.3,34.0,1,28.576190476190476,5.3047619047619055,23.4
2014.0,20,East,244.1,32.8,50.8,57.2,50.0,34.4,1,28.76666666666667,8.321428571428571,23.0
2014.0,20,North,945.5,34.4,49.6,58.8,56.5,34.6,1,27.993506493506494,5.545454545454546,22.7
2014.0,20,West,397.20000000000005,33.4,55.4,66.8,62.3,33.4,1,28.764285714285712,9.082142857142857,23.2
2014.0,21,Central,93.4,23.8,29.0,31.2,41.8,33.9,1,28.285714285714285,5.4904761904761905,23.7
2014.0,21,East,142.0,22.0,31.0,31.6,54.0,34.4,1,28.242857142857144,8.014285714285714,23.2
2014.0,21,North,702.3,35.6,55.8,67.8,48.2,35.1,1,27.802597402597407,5.484415584415585,21.6
2014.0,21,West,212.2,24.6,36.6,42.2,49.7,32.9,1,28.571428571428573,8.55,22.6
2014.0,22,Central,139.0,45.6,52.2,52.8,35.3,33.8,1,28.633333333333333,5.276190476190476,24.0
2014.0,22,East,123.8,17.2,17.2,17.2,53.3,34.1,1,28.728571428571428,8.414285714285715,24.2
2014.0,22,North,561.9,29.4,38.8,47.0,45.0,34.1,1,28.24025974025974,5.6909090909090905,22.7
2014.0,22,West,175.6,24.4,29.4,29.8,73.4,32.7,1,28.814285714285713,9.435714285714285,23.1
2014.0,23,Central,87.6,15.4,16.0,18.2,43.2,33.7,1,28.571428571428573,6.061904761904762,24.9
2014.0,23,East,215.1,21.6,25.6,28.4,47.9,33.5,1,28.75238095238095,9.417857142857143,24.5
2014.0,23,North,604.5,32.2,37.0,39.6,46.4,34.7,1,28.06883116883117,5.925974025974027,23.3
2014.0,23,West,202.4,30.2,46.2,61.4,55.8,33.0,1,28.939285714285713,9.882142857142856,24.5
2014.0,24,Central,72.2,19.4,23.2,23.2,70.6,34.7,1,29.314999999999998,5.9523809523809526,23.0
2014.0,24,East,115.1,22.4,27.4,27.6,72.4,34.6,1,29.476190476190474,9.282142857142857,22.7
2014.0,24,North,303.7,16.8,24.6,24.6,71.3,36.2,1,29.067532467532466,5.893506493506494,22.5
2014.0,24,West,121.6,20.2,23.2,25.2,103.7,33.5,1,29.564285714285713,9.87142857142857,23.2
2014.0,25,Central,73.4,16.0,22.2,22.6,47.9,34.5,1,29.742857142857144,6.676190476190476,23.4
2014.0,25,East,55.8,16.0,18.0,18.0,48.2,34.7,1,30.04285714285714,10.942857142857141,23.9
2014.0,25,North,234.9,18.6,19.8,19.8,56.9,35.5,1,29.807792207792204,7.028571428571429,22.8
2014.0,25,West,107.8,17.4,19.6,22.6,79.9,34.2,1,29.935714285714287,10.532142857142857,23.3
2014.0,26,Central,23.6,5.8,6.4,6.4,46.1,33.3,1,28.861904761904764,5.919047619047619,21.9
2014.0,26,East,45.9,8.6,11.4,12.2,46.1,34.3,1,29.214285714285715,9.507142857142856,23.8
2014.0,26,North,332.8,27.6,44.0,44.8,58.3,34.7,1,28.66388888888889,6.025,20.4
2014.0,26,West,142.0,21.0,23.6,26.0,79.6,33.8,1,29.099999999999998,9.632142857142856,22.8
2014.0,27,Central,86.2,15.4,17.2,19.2,45.4,33.4,1,28.366666666666667,5.514285714285714,23.5
2014.0,27,East,148.5,18.0,19.0,19.0,60.5,32.9,1,28.571428571428573,8.403571428571428,23.2
2014.0,27,North,633.8,41.2,58.2,93.4,47.5,33.6,1,27.872857142857143,5.838571428571428,22.6
2014.0,27,West,186.0,25.6,32.4,34.8,69.1,31.9,1,28.714285714285715,9.392857142857142,23.2
2014.0,28,Central,205.2,42.4,47.6,48.2,59.0,33.6,1,28.238095238095237,6.395238095238096,22.8
