year,week,date,region_n,avg_value
2019,3,2019-01-14,CENTRAL REGION,77.69932036827778
2019,4,2019-01-21,CENTRAL REGION,73.52742405395176
2019,5,2019-01-28,CENTRAL REGION,74.70597490338324
2019,6,2019-02-04,CENTRAL REGION,75.61269677329834
2019,7,2019-02-11,CENTRAL REGION,70.21186096419025
2019,8,2019-02-18,CENTRAL REGION,74.9491111916641
2019,9,2019-02-25,CENTRAL REGION,72.49648691153402
2019,10,2019-03-04,CENTRAL REGION,73.32509585002283
2019,11,2019-03-11,CENTRAL REGION,70.55552803131562
2019,12,2019-03-18,CENTRAL REGION,70.85066544166764
2019,13,2019-03-25,CENTRAL REGION,75.22834052694067
2019,14,2019-04-01,CENTRAL REGION,75.50379445974468
2019,15,2019-04-08,CENTRAL REGION,76.55346833726355
2019,16,2019-04-15,CENTRAL REGION,74.24089875562731
2019,17,2019-04-22,CENTRAL REGION,83.09953381960304
2019,18,2019-04-29,CENTRAL REGION,79.15720540432208
2019,19,2019-05-06,CENTRAL REGION,76.40449869655643
2019,20,2019-05-13,CENTRAL REGION,80.09175750684571
2019,21,2019-05-20,CENTRAL REGION,77.72841975204126
2019,22,2019-05-27,CENTRAL REGION,79.62471167604063
2019,23,2019-06-03,CENTRAL REGION,84.59820731208062
2019,24,2019-06-10,CENTRAL REGION,81.21851592464189
2019,25,2019-06-17,CENTRAL REGION,83.73127409183816
2019,26,2019-06-24,CENTRAL REGION,78.72406309883456
2019,27,2019-07-01,CENTRAL REGION,77.49614592738963
2019,28,2019-07-08,CENTRAL REGION,76.34267046436788
2019,29,2019-07-15,CENTRAL REGION,72.29383863951642
2019,30,2019-07-22,CENTRAL REGION,72.51525696464385
2019,31,2019-07-29,CENTRAL REGION,71.2166192597085
2019,32,2019-08-05,CENTRAL REGION,75.08551608572044
2019,33,2019-08-12,CENTRAL REGION,74.11891824286478
2019,34,2019-08-19,CENTRAL REGION,72.85839375359178
2019,35,2019-08-26,CENTRAL REGION,76.56538148790946
2019,36,2019-09-02,CENTRAL REGION,74.28121161938707
2019,37,2019-09-09,CENTRAL REGION,75.25254231857467
2019,38,2019-09-16,CENTRAL REGION,73.0354226551803
2019,39,2019-09-23,CENTRAL REGION,77.38878354917482
2019,40,2019-09-30,CENTRAL REGION,77.24957868723803
2019,41,2019-10-07,CENTRAL REGION,76.87488474927652
2019,42,2019-10-14,CENTRAL REGION,75.64461653359085
2019,43,2019-10-21,CENTRAL REGION,80.73024243306753
2019,44,2019-10-28,CENTRAL REGION,74.65831769600383
2019,45,2019-11-04,CENTRAL REGION,78.43623469552486
2019,46,2019-11-11,CENTRAL REGION,74.37583137182328
2019,47,2019-11-18,CENTRAL REGION,82.54388138578427
2019,48,2019-11-25,CENTRAL REGION,81.53532798152587
2019,49,2019-12-02,CENTRAL REGION,76.29914193293074
2019,50,2019-12-09,CENTRAL REGION,88.73164239475207
2019,51,2019-12-16,CENTRAL REGION,85.64214224299963
2019,52,2019-12-23,CENTRAL REGION,77.51960401950086
2020,1,2019-12-30,CENTRAL REGION,76.30141834654366
2020,2,2020-01-06,CENTRAL REGION,78.78109432002682
2020,3,2020-01-13,CENTRAL REGION,77.00383239380564
2020,4,2020-01-20,CENTRAL REGION,76.64376273461261
2020,5,2020-01-27,CENTRAL REGION,78.17132385258658
2020,6,2020-02-03,CENTRAL REGION,72.03587165255577
2020,7,2020-02-10,CENTRAL REGION,79.89675125238759
2020,8,2020-02-17,CENTRAL REGION,75.31659897506044
2020,9,2020-02-24,CENTRAL REGION,73.32356751341841
2020,10,2020-03-02,CENTRAL REGION,78.19019348517209
2020,11,2020-03-09,CENTRAL REGION,76.01960573892896
2020,12,2020-03-16,CENTRAL REGION,74.70284604739153
2020,13,2020-03-23,CENTRAL REGION,78.66169152964626
2020,14,2020-03-30,CENTRAL REGION,75.65058468863565
2020,15,2020-04-06,CENTRAL REGION,77.86177825273029
2020,16,2020-04-13,CENTRAL REGION,74.54833253922992
2020,17,2020-04-20,CENTRAL REGION,81.14564628683287
2020,18,2020-04-27,CENTRAL REGION,83.11578494001395
2020,19,2020-05-04,CENTRAL REGION,81.58756356684255
2020,20,2020-05-11,CENTRAL REGION,81.127188508501
2020,21,2020-05-18,CENTRAL REGION,81.01976996972813
2020,22,2020-05-25,CENTRAL REGION,80.87269130293078
2020,23,2020-06-01,CENTRAL REGION,81.28649907875652
2020,24,2020-06-08,CENTRAL REGION,83.07591270172232
2020,25,2020-06-15,CENTRAL REGION,85.78957351843988
2020,26,2020-06-22,CENTRAL REGION,83.65861135702782
2020,27,2020-06-29,CENTRAL REGION,79.08731915557154
2020,28,2020-07-06,CENTRAL REGION,82.00015211815905
2020,29,2020-07-13,CENTRAL REGION,81.9944519851996
2020,30,2020-07-20,CENTRAL REGION,81.9446217483212
2020,31,2020-07-27,CENTRAL REGION,82.48758474627192
2020,32,2020-08-03,CENTRAL REGION,79.05777652019344
2020,33,2020-08-10,CENTRAL REGION,79.70920624664771
2020,34,2020-08-17,CENTRAL REGION,82.5672314280452
2020,35,2020-08-24,CENTRAL REGION,80.08854935880827
2020,36,2020-08-31,CENTRAL REGION,84.44477079497169
2020,37,2020-09-07,CENTRAL REGION,83.34067958432531
2020,38,2020-09-14,CENTRAL REGION,80.719422896308
2020,39,2020-09-21,CENTRAL REGION,81.8121128438054
2020,40,2020-09-28,CENTRAL REGION,81.744720034761
2020,41,2020-10-05,CENTRAL REGION,80.34835947477214
2020,42,2020-10-12,CENTRAL REGION,76.54808350538248
2020,43,2020-10-19,CENTRAL REGION,79.21859636181681
2020,44,2020-10-26,CENTRAL REGION,81.79872083961668
2020,45,2020-11-02,CENTRAL REGION,84.49482295934051
2013,21,2013-05-20,EAST REGION,76.88568941504178
2013,22,2013-05-27,EAST REGION,76.88568941504178
2013,23,2013-06-03,EAST REGION,76.88568941504178
2013,24,2013-06-10,EAST REGION,76.88568941504178
2013,25,2013-06-17,EAST REGION,76.88568941504178
2013,26,2013-06-24,EAST REGION,76.88568941504178
2013,27,2013-07-01,EAST REGION,76.88568941504178
2013,28,2013-07-08,EAST REGION,76.88568941504178
2013,29,2013-07-15,EAST REGION,76.88568941504178
2013,30,2013-07-22,EAST REGION,76.88568941504178
2013,31,2013-07-29,EAST REGION,76.88568941504178
2013,32,2013-08-05,EAST REGION,76.88568941504178
2013,33,2013-08-12,EAST REGION,76.88568941504178
2013,34,2013-08-19,EAST REGION,76.88568941504178
2013,35,2013-08-26,EAST REGION,76.88568941504178
2013,36,2013-09-02,EAST REGION,76.88568941504178
2013,37,2013-09-09,EAST REGION,76.88568941504178
2013,38,2013-09-16,EAST REGION,76.88568941504178
2013,39,2013-09-23,EAST REGION,76.88568941504178
2013,40,2013-09-30,EAST REGION,76.88568941504178
2013,41,2013-10-07,EAST REGION,76.88568941504178
2013,42,2013-10-14,EAST REGION,76.88568941504178
2013,43,2013-10-21,EAST REGION,76.88568941504178
2013,44,2013-10-28,EAST REGION,76.88568941504178
2013,45,2013-11-04,EAST REGION,76.88568941504178
2013,46,2013-11-11,EAST REGION,76.88568941504178
2013,47,2013-11-18,EAST REGION,76.88568941504178
2013,48,2013-11-25,EAST REGION,76.88568941504178
2013,49,2013-12-02,EAST REGION,76.88568941504178
2013,50,2013-12-09,EAST REGION,76.88568941504178
2013,51,2013-12-16,EAST REGION,76.88568941504178
2013,52,2013-12-23,EAST REGION,76.88568941504178
2013,1,2012-12-31,EAST REGION,76.88568941504178
2014,1,2013-12-30,EAST REGION,76.88568941504178
2014,2,2014-01-06,EAST REGION,76.88568941504178
2014,3,2014-01-13,EAST REGION,76.88568941504178
2014,4,2014-01-20,EAST REGION,76.88568941504178
2014,5,2014-01-27,EAST REGION,76.88568941504178
2014,6,2014-02-03,EAST REGION,76.88568941504178
2014,7,2014-02-10,EAST REGION,76.88568941504178
2014,8,2014-02-17,EAST REGION,76.88568941504178
2014,9,2014-02-24,EAST REGION,76.88568941504178
2014,10,2014-03-03,EAST REGION,76.88568941504178
2014,11,2014-03-10,EAST REGION,76.88568941504178
2014,12,2014-03-17,EAST REGION,76.88568941504178
2014,13,2014-03-24,EAST REGION,76.88568941504178
2014,14,2014-03-31,EAST REGION,76.88568941504178
2014,15,2014-04-07,EAST REGION,76.88568941504178
2014,16,2014-04-14,EAST REGION,76.88568941504178
2014,17,2014-04-21,EAST REGION,76.88568941504178
2014,18,2014-04-28,EAST REGION,76.88568941504178
2014,19,2014-05-05,EAST REGION,76.88568941504178
2014,20,2014-05-12,EAST REGION,76.88568941504178
2014,21,2014-05-19,EAST REGION,76.88568941504178
2014,22,2014-05-26,EAST REGION,76.88568941504178
2014,23,2014-06-02,EAST REGION,76.88568941504178
2014,24,2014-06-09,EAST REGION,76.88568941504178
2014,25,2014-06-16,EAST REGION,76.88568941504178
2014,26,2014-06-23,EAST REGION,76.88568941504178
2014,27,2014-06-30,EAST REGION,76.88568941504178
2014,28,2014-07-07,EAST REGION,76.88568941504178
2014,29,2014-07-14,EAST REGION,76.88568941504178
2014,30,2014-07-21,EAST REGION,76.88568941504178
2014,31,2014-07-28,EAST REGION,76.88568941504178
2014,32,2014-08-04,EAST REGION,76.88568941504178
2014,33,2014-08-11,EAST REGION,76.88568941504178
2014,34,2014-08-18,EAST REGION,76.88568941504178
2014,35,2014-08-25,EAST REGION,76.88568941504178
2014,36,2014-09-01,EAST REGION,76.88568941504178
2014,37,2014-09-08,EAST REGION,76.88568941504178
2014,38,2014-09-15,EAST REGION,76.88568941504178
2014,39,2014-09-22,EAST REGION,76.88568941504178
2014,40,2014-09-29,EAST REGION,76.88568941504178
2014,41,2014-10-06,EAST REGION,76.88568941504178
2014,42,2014-10-13,EAST REGION,76.88568941504178
2014,43,2014-10-20,EAST REGION,76.88568941504178
2014,44,2014-10-27,EAST REGION,76.88568941504178
2014,45,2014-11-03,EAST REGION,76.88568941504178
2014,46,2014-11-10,EAST REGION,76.88568941504178
2014,47,2014-11-17,EAST REGION,76.88568941504178
2014,48,2014-11-24,EAST REGION,76.88568941504178
