,year,week,cluster_sn,no_cases,latitude,longitude,point,pln_area_n,region_n,pln_total_cases,reg_total_cases,total_cases,total_daily_rainfall,highest_30min_rainfall,highest_60min_rainfall,highest_120min_rainfall,max_wind_sp,max_temp,rainy_day,mean_temp,mean_wind_sp,min_temp,humidity,hdb_1_and_2_room_flats_hse,hdb_3_room_flats_hse,hdb_4_room_flats_hse,hdb_5_room_and_executive_flats_hse,condominiums_and_other_apartments_hse,landed_properties_hse,others_hse,total_hdb_hse,hdb_1_and_2_room_flats_pop,hdb_3_room_flats_pop,hdb_4_room_flats_pop,hdb_5_room_and_executive_flats_pop,condominiums_and_other_apartments_pop,landed_properties_pop,others_pop,total_hdb_pop,total_pop,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff,date
161,2013,25,18.0,12.0,1.2936585333333337,103.81115643333334,POINT (103.81115643333334 1.2936585333333335),QUEENSTOWN,CENTRAL REGION,16.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,3688.4,14686.8,7346.0,3919.6,4289.6,1062.0,113.2,29640.8,8762.0,36794.0,22838.0,13932.0,10816.0,3724.0,1368.0,82322.0,98230.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
166,2013,25,23.0,9.0,1.325091,103.86298355,POINT (103.86298355 1.325091),KALLANG,CENTRAL REGION,31.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
169,2013,25,26.0,8.0,1.3049421250000002,103.912977275,POINT (103.912977275 1.3049421250000002),MARINE PARADE,CENTRAL REGION,8.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,1400.8,2934.4,1738.4,1505.2,5419.2,2177.6,143.6,7638.8,3628.0,7218.0,5552.0,5822.0,15796.0,9570.0,586.0,22214.0,48166.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
174,2013,25,31.0,6.0,1.3134320666666666,103.88867973333332,POINT (103.88867973333333 1.3134320666666666),GEYLANG,CENTRAL REGION,6.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,4425.2,11288.0,9723.2,4662.4,6195.2,1634.0,470.8,30254.0,10010.0,32322.0,33068.0,16880.0,16656.0,6772.0,2200.0,92830.0,118452.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
175,2013,25,32.0,6.0,1.2926652,103.8215023,POINT (103.8215023 1.2926652),BUKIT MERAH,CENTRAL REGION,15.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,11727.6,16249.2,14494.8,9273.6,3243.6,124.0,257.6,51745.2,24898.0,42686.0,46280.0,31964.0,8116.0,496.0,1926.0,145822.0,156352.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
178,2013,25,35.0,5.0,1.28703185,103.8321452,POINT (103.8321452 1.28703185),BUKIT MERAH,CENTRAL REGION,15.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,11727.6,16249.2,14494.8,9273.6,3243.6,124.0,257.6,51745.2,24898.0,42686.0,46280.0,31964.0,8116.0,496.0,1926.0,145822.0,156352.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
180,2013,25,37.0,5.0,1.351211775,103.838471075,POINT (103.838471075 1.351211775),BISHAN,CENTRAL REGION,7.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,477.6,2148.4,9848.0,7384.0,4368.0,3184.8,81.2,20089.2,1018.0,5626.0,32144.0,27182.0,13022.0,10878.0,544.0,66490.0,90940.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
184,2013,25,41.0,4.0,1.3014340666666666,103.79563886666666,POINT (103.79563886666666 1.3014340666666666),QUEENSTOWN,CENTRAL REGION,16.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,3688.4,14686.8,7346.0,3919.6,4289.6,1062.0,113.2,29640.8,8762.0,36794.0,22838.0,13932.0,10816.0,3724.0,1368.0,82322.0,98230.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
187,2013,25,44.0,4.0,1.297443,103.8124899,POINT (103.8124899 1.297443),TANGLIN,CENTRAL REGION,4.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,0.0,9.6,24.799999999999997,88.4,5519.2,696.0,36.8,182.8,0.0,40.0,226.0,274.0,13220.0,4232.0,324.0,544.0,18316.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
188,2013,25,45.0,4.0,1.2887155,103.816893225,POINT (103.816893225 1.2887155),BUKIT MERAH,CENTRAL REGION,15.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,11727.6,16249.2,14494.8,9273.6,3243.6,124.0,257.6,51745.2,24898.0,42686.0,46280.0,31964.0,8116.0,496.0,1926.0,145822.0,156352.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
193,2013,25,50.0,3.0,1.317319,103.807431,POINT (103.807431 1.317319),BUKIT TIMAH,CENTRAL REGION,3.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,0.0,465.2,874.0,958.4,11205.2,8872.4,228.0,2297.6,0.0,1132.0,2904.0,3738.0,31864.0,32132.0,1026.0,7782.0,72806.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
194,2013,25,51.0,3.0,1.3358663,103.8488133,POINT (103.8488133 1.3358663),TOA PAYOH,CENTRAL REGION,3.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,5021.6,15670.8,9972.4,6719.2,2503.2,1782.4,414.0,38350.8,11252.0,39772.0,31522.0,24314.0,7080.0,5842.0,1762.0,110144.0,124824.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
195,2013,25,52.0,3.0,1.3050433333333336,103.86397466666666,POINT (103.86397466666666 1.3050433333333336),KALLANG,CENTRAL REGION,31.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
201,2013,25,58.0,2.0,1.349046,103.843092,POINT (103.843092 1.349046),BISHAN,CENTRAL REGION,7.0,93.0,1105.0,0.0,,,,53.6,34.8,0,30.325714285714287,7.1971428571428575,25.6,83.20328466977637,477.6,2148.4,9848.0,7384.0,4368.0,3184.8,81.2,20089.2,1018.0,5626.0,32144.0,27182.0,13022.0,10878.0,544.0,66490.0,90940.0,25.0,23.0,8.0,2.0,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0,2013-06-23
218,2013,26,15.0,23.0,1.3144351647058825,103.85545008235296,POINT (103.85545008235295 1.3144351647058823),KALLANG,CENTRAL REGION,43.0,129.0,1283.0,3.919999999999999,,,,63.4,34.7,1,29.017142857142854,6.105714285714285,21.3,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,26.0,24.0,9.0,3.0,1.0,18.0,1.0,17.0,1.0,7.0,1.0,1.0,2013-06-30
220,2013,26,17.0,16.0,1.325219142857143,103.86317081428572,POINT (103.86317081428571 1.325219142857143),KALLANG,CENTRAL REGION,43.0,129.0,1283.0,3.919999999999999,,,,63.4,34.7,1,29.017142857142854,6.105714285714285,21.3,83.20328466977637,5992.0,10220.0,7804.8,4320.0,6890.8,403.2000000000001,458.8,28336.8,12464.0,28630.0,25014.0,15078.0,16052.0,1556.0,1762.0,81182.0,100550.0,26.0,24.0,9.0,3.0,1.0,18.0,1.0,17.0,1.0,7.0,1.0,1.0,2013-06-30
