,week,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
193,2017-02-05,5,4,6,1,0.0,-1.0,1.0,1.0,-1.0,-2.0,0.0,0.0
194,2017-02-12,3,2,6,3,-2.0,-2.0,-2.0,-3.0,0.0,1.0,2.0,2.0
195,2017-02-19,4,3,7,2,1.0,3.0,1.0,3.0,1.0,1.0,-1.0,-3.0
196,2017-02-26,4,4,5,2,0.0,-1.0,1.0,0.0,-2.0,-3.0,0.0,1.0
197,2017-03-05,4,3,6,1,0.0,0.0,-1.0,-2.0,1.0,3.0,-1.0,-1.0
198,2017-03-12,5,4,5,2,1.0,1.0,1.0,2.0,-1.0,-2.0,1.0,2.0
199,2017-03-19,4,3,7,2,-1.0,-2.0,-1.0,-2.0,2.0,3.0,0.0,-1.0
200,2017-03-26,3,3,7,3,-1.0,0.0,0.0,1.0,0.0,-2.0,1.0,1.0
201,2017-04-02,7,5,8,3,4.0,5.0,2.0,2.0,1.0,1.0,0.0,-1.0
202,2017-04-09,4,2,7,1,-3.0,-7.0,-3.0,-5.0,-1.0,-2.0,-2.0,-2.0
203,2017-04-16,4,3,8,2,0.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0
204,2017-04-23,4,4,6,2,0.0,0.0,1.0,0.0,-2.0,-3.0,0.0,-1.0
205,2017-04-30,5,5,6,2,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0
206,2017-05-07,4,5,8,1,-1.0,-2.0,0.0,-1.0,2.0,2.0,-1.0,-1.0
207,2017-05-14,4,4,8,1,0.0,1.0,-1.0,-1.0,0.0,-2.0,0.0,1.0
208,2017-05-21,5,5,6,1,1.0,1.0,1.0,2.0,-2.0,-2.0,0.0,0.0
209,2017-05-28,6,5,7,2,1.0,0.0,0.0,-1.0,1.0,3.0,1.0,1.0
210,2017-06-04,4,4,5,2,-2.0,-3.0,-1.0,-1.0,-2.0,-3.0,0.0,-1.0
